Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13376854,1,January,2019,39685416.0,electropop,94.0,86.0,194087.0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14.0,2019-03-29,0.328,0.701,0.425,0.13,7.0,0.1,-10.965,1.0,0.375,135.128,4.0,0.562
2,Wow.,Post Malone,13236038,1,January,2019,4050894.0,country rap,83.0,80.0,157066.0,7 EP,8.0,2019-06-21,0.0533,0.878,0.619,0.0,6.0,0.113,-5.56,1.0,0.102,136.041,4.0,0.639
3,Going Bad (feat. Drake),Meek Mill,9244190,1,January,2019,39685416.0,electropop,94.0,77.0,221543.0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14.0,2019-03-29,0.39,0.853,0.351,9.38e-06,7.0,0.752,-10.198,1.0,0.241,118.028,4.0,0.282
4,SICKO MODE,Travis Scott,9236076,1,January,2019,39685416.0,electropop,94.0,78.0,193143.0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14.0,2019-03-29,0.74,0.905,0.389,0.162,8.0,0.106,-14.505,1.0,0.332,120.046,4.0,0.196
5,"thank u, next",Ariana Grande,9173689,1,January,2019,39685416.0,electropop,94.0,84.0,196077.0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14.0,2019-03-29,0.978,0.367,0.111,3.97e-05,4.0,0.0897,-14.084,1.0,0.0972,82.642,4.0,0.198
6,Drip Too Hard (Lil Baby & Gunna),Lil Baby,8373427,1,January,2019,31243997.0,dfw rap,94.0,83.0,158040.0,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),13.0,2018-12-14,0.556,0.76,0.479,0.0,2.0,0.0703,-5.574,1.0,0.0466,89.911,4.0,0.913
7,ZEZE (feat. Travis Scott & Offset),Kodak Black,8100798,1,January,2019,39685416.0,electropop,94.0,75.0,243725.0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14.0,2019-03-29,0.751,0.521,0.125,0.00207,9.0,0.265,-17.832,1.0,0.239,111.554,4.0,0.0528
8,Without Me,Halsey,7925081,1,January,2019,39685416.0,electropop,94.0,77.0,168839.0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14.0,2019-03-29,0.283,0.726,0.444,0.143,8.0,0.177,-8.922,0.0,0.372,185.044,4.0,0.569
9,Mo Bamba,Sheck Wes,7577622,1,January,2019,12624847.0,conscious hip hop,88.0,80.0,213593.0,MIDDLE CHILD,1.0,2019-01-23,0.149,0.837,0.364,0.0,8.0,0.271,-11.713,1.0,0.276,123.984,4.0,0.463
10,Leave Me Alone,Flipp Dinero,6211187,1,January,2019,39685416.0,electropop,94.0,75.0,179889.0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14.0,2019-03-29,0.35,0.939,0.305,0.000169,8.0,0.105,-10.952,0.0,0.354,100.029,4.0,0.563
